time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-08 00:00:00+00:00,285,43,761,233
2025-04-09 00:00:00+00:00,378,45,1315,289
2025-04-10 00:00:00+00:00,834,59,1174,284
2025-04-11 00:00:00+00:00,768,53,1127,242
2025-04-12 00:00:00+00:00,258,77,266,94
2025-04-13 00:00:00+00:00,470,37,528,99
2025-04-14 00:00:00+00:00,253,44,790,209
2025-04-15 00:00:00+00:00,474,45,1036,242
2025-04-16 00:00:00+00:00,349,68,1159,247
2025-04-17 00:00:00+00:00,466,42,1079,226
2025-04-18 00:00:00+00:00,1056,69,944,179
2025-04-19 00:00:00+00:00,133,22,397,112
2025-04-20 00:00:00+00:00,327,51,272,111
2025-04-21 00:00:00+00:00,1072,103,1039,247
2025-04-22 00:00:00+00:00,852,79,1157,247
2025-04-23 00:00:00+00:00,224,57,1096,290
2025-04-24 00:00:00+00:00,582,157,998,263
2025-04-25 00:00:00+00:00,497,102,4699,226
2025-04-26 00:00:00+00:00,651,34,337,109
2025-04-27 00:00:00+00:00,142,31,343,103
2025-04-28 00:00:00+00:00,870,94,988,247
2025-04-29 00:00:00+00:00,413,55,727,238
2025-04-30 00:00:00+00:00,564,73,976,229
2025-05-01 00:00:00+00:00,336,49,603,131
2025-05-02 00:00:00+00:00,376,63,569,129
2025-05-03 00:00:00+00:00,65,27,251,97
2025-05-04 00:00:00+00:00,125,38,338,100
2025-05-05 00:00:00+00:00,366,51,834,245
2025-05-06 00:00:00+00:00,691,72,888,237
2025-05-07 00:00:00+00:00,535,97,939,251
2025-05-08 00:00:00+00:00,292,45,989,251
2025-05-09 00:00:00+00:00,353,55,743,201
2025-05-10 00:00:00+00:00,181,34,268,110
2025-05-11 00:00:00+00:00,383,28,403,112
2025-05-12 00:00:00+00:00,353,69,988,280
2025-05-13 00:00:00+00:00,888,110,1328,275
2025-05-14 00:00:00+00:00,596,86,1214,301
2025-05-15 00:00:00+00:00,1755,129,1047,284
2025-05-16 00:00:00+00:00,868,157,915,208
